;pole_live_request_date;pole_name;pole_hour_cnt;pole_day_cnt;pole_year_cnt;pole_cnt_time;pole_cnt_date;pole_cnt_hour
0;2019-10-17 11:14:06;CB02411;3;770;370188;2019-10-17 11:13:00;2019-10-17;11:13:00
1;2019-10-17 11:14:06;CB1143;9;253;278299;2019-10-17 11:13:00;2019-10-17;11:13:00
2;2019-10-17 11:14:06;CB1599;5;205;112856;2019-10-17 11:13:00;2019-10-17;11:13:00
3;2019-10-17 11:14:06;CEK049;9;367;265085;2019-10-17 11:13:00;2019-10-17;11:13:00
4;2019-10-17 11:14:06;CEK18;1;28;95196;2019-10-17 11:13:00;2019-10-17;11:13:00
5;2019-10-17 11:14:06;CJM90;15;565;470849;2019-10-17 11:13:00;2019-10-17;11:13:00
6;2019-10-17 11:14:06;CLW239;5;69;71098;2019-10-17 11:13:00;2019-10-17;11:13:00
7;2019-10-17 11:14:06;COM205;0;67;59942;2019-10-17 11:13:00;2019-10-17;11:13:00
8;2019-10-17 11:14:06;CSG301;2;130;113321;2019-10-17 11:13:00;2019-10-17;11:13:00
9;2019-10-17 11:14:06;SJE181;0;53;22258;2019-10-17 11:13:00;2019-10-17;11:13:00
0;2019-10-17 11:14:10;CB02411;3;770;370188;2019-10-17 11:13:00;2019-10-17;11:13:00
1;2019-10-17 11:14:10;CB1143;9;253;278299;2019-10-17 11:13:00;2019-10-17;11:13:00
2;2019-10-17 11:14:10;CB1599;5;205;112856;2019-10-17 11:13:00;2019-10-17;11:13:00
3;2019-10-17 11:14:10;CEK049;9;367;265085;2019-10-17 11:13:00;2019-10-17;11:13:00
4;2019-10-17 11:14:10;CEK18;1;28;95196;2019-10-17 11:13:00;2019-10-17;11:13:00
5;2019-10-17 11:14:10;CJM90;15;565;470849;2019-10-17 11:13:00;2019-10-17;11:13:00
6;2019-10-17 11:14:10;CLW239;5;69;71098;2019-10-17 11:13:00;2019-10-17;11:13:00
7;2019-10-17 11:14:10;COM205;0;67;59942;2019-10-17 11:13:00;2019-10-17;11:13:00
8;2019-10-17 11:14:10;CSG301;2;130;113321;2019-10-17 11:13:00;2019-10-17;11:13:00
9;2019-10-17 11:14:10;SJE181;0;53;22258;2019-10-17 11:13:00;2019-10-17;11:13:00
