;traverse_live_request_date;traverse_name;traverse_interval;traverse_count;traverse_speed;traverse_occupancy;traverse_start_time;traverse_end_time;traverse_end_date;traverse_end_hour
0;2019-10-17 12:42:34;LOU_TD1;1m;31;52,0;21,5;2019-10-17 12:41:00;2019-10-17 12:42:00;2019-10-17;12:42:00
1;2019-10-17 12:42:34;ARL_103;1m;36;45,5;31,0;2019-10-17 12:41:00;2019-10-17 12:42:00;2019-10-17;12:42:00
2;2019-10-17 12:42:34;SB020_BBin;1m;13;23,5;11,0;2019-10-17 12:38:00;2019-10-17 12:39:00;2019-10-17;12:39:00
3;2019-10-17 12:42:34;LOI_103;1m;37;55,0;15,0;2019-10-17 12:41:00;2019-10-17 12:42:00;2019-10-17;12:42:00
4;2019-10-17 12:42:34;SB0236_BHout;1m;0;0,0;0,0;2019-10-17 02:53:00;2019-10-17 02:54:00;2019-10-17;02:54:00
5;2019-10-17 12:42:34;CIN_TD1;1m;34;54,5;17,5;2019-10-17 12:41:00;2019-10-17 12:42:00;2019-10-17;12:42:00
6;2019-10-17 12:42:34;CIN_TD2;1m;24;67,0;12,0;2019-10-17 12:41:00;2019-10-17 12:42:00;2019-10-17;12:42:00
7;2019-10-17 12:42:34;RCE_TD1;1m;0;0,0;0,0;2019-10-17 12:41:00;2019-10-17 12:42:00;2019-10-17;12:42:00
8;2019-10-17 12:42:34;SUL62_BHin;1m;0;0,0;0,0;2019-10-17 02:53:00;2019-10-17 02:54:00;2019-10-17;02:54:00
9;2019-10-17 12:42:34;BE_TD1;1m;67;60,3333;25,3333;2019-10-17 12:41:00;2019-10-17 12:42:00;2019-10-17;12:42:00
11;2019-10-17 12:42:34;ARL_203;1m;30;50,0;17,0;2019-10-17 12:41:00;2019-10-17 12:42:00;2019-10-17;12:42:00
12;2019-10-17 12:42:34;HAL_292;1m;15;20,0;11,0;2019-10-17 12:41:00;2019-10-17 12:42:00;2019-10-17;12:42:00
13;2019-10-17 12:42:34;TRO_203;1m;9;10,5;11,5;2019-10-17 12:41:00;2019-10-17 12:42:00;2019-10-17;12:42:00
15;2019-10-17 12:42:34;BOT_TD2;1m;49;56,5;31,0;2019-10-17 12:41:00;2019-10-17 12:42:00;2019-10-17;12:42:00
16;2019-10-17 12:42:34;HAL_191;1m;18;48,5;9,5;2019-10-17 12:41:00;2019-10-17 12:42:00;2019-10-17;12:42:00
17;2019-10-17 12:42:34;DEL_103_12;1m;28;54,5;17,0;2019-10-17 12:41:00;2019-10-17 12:42:00;2019-10-17;12:42:00
18;2019-10-17 12:42:34;MON_TD1;1m;16;49,5;10,5;2019-10-17 12:41:00;2019-10-17 12:42:00;2019-10-17;12:42:00
19;2019-10-17 12:42:34;LOU_110;1m;13;40,0;15,0;2019-10-17 12:41:00;2019-10-17 12:42:00;2019-10-17;12:42:00
20;2019-10-17 12:42:34;STE_TD3;1m;1;0,0;3,0;2019-10-17 12:41:00;2019-10-17 12:42:00;2019-10-17;12:42:00
21;2019-10-17 12:42:34;SUL62_BGin;1m;0;0,0;0,0;2019-10-17 02:53:00;2019-10-17 02:54:00;2019-10-17;02:54:00
22;2019-10-17 12:42:34;MAD_103;1m;42;37,0;12,5;2019-10-17 12:41:00;2019-10-17 12:42:00;2019-10-17;12:42:00
23;2019-10-17 12:42:34;VLE_103;1m;18;60,5;13,0;2019-10-17 12:41:00;2019-10-17 12:42:00;2019-10-17;12:42:00
24;2019-10-17 12:42:34;ROG_TD1;1m;36;56,5;7,0;2019-10-17 12:41:00;2019-10-17 12:42:00;2019-10-17;12:42:00
25;2019-10-17 12:42:34;PNA_203;1m;32;58,0;23,0;2019-10-17 12:41:00;2019-10-17 12:42:00;2019-10-17;12:42:00
26;2019-10-17 12:42:34;DEL_103_6;1m;0;0,0;0,0;2019-10-17 12:41:00;2019-10-17 12:42:00;2019-10-17;12:42:00
27;2019-10-17 12:42:34;SUL62_BDout;1m;0;0,0;0,0;2019-10-17 02:53:00;2019-10-17 02:54:00;2019-10-17;02:54:00
28;2019-10-17 12:42:34;LOU_TD2;1m;26;60,0;14,0;2019-10-17 12:41:00;2019-10-17 12:42:00;2019-10-17;12:42:00
29;2019-10-17 12:42:34;VP_103;1m;30;64,0;18,0;2019-10-17 12:41:00;2019-10-17 12:42:00;2019-10-17;12:42:00
30;2019-10-17 12:42:34;STE_TD2;1m;18;54,0;14,5;2019-10-17 12:41:00;2019-10-17 12:42:00;2019-10-17;12:42:00
31;2019-10-17 12:42:34;BOI_203;1m;21;40,5;13,0;2019-10-17 12:41:00;2019-10-17 12:42:00;2019-10-17;12:42:00
32;2019-10-17 12:42:34;GH_103;1m;20;30,0;9,0;2019-10-17 12:41:00;2019-10-17 12:42:00;2019-10-17;12:42:00
33;2019-10-17 12:42:34;ROG_TD2;1m;24;60,0;13,0;2019-10-17 12:41:00;2019-10-17 12:42:00;2019-10-17;12:42:00
34;2019-10-17 12:42:34;SGN02_BBout;1m;16;34,5;9,0;2019-10-17 12:38:00;2019-10-17 12:39:00;2019-10-17;12:39:00
35;2019-10-17 12:42:34;TER_TD1;1m;14;11,5;4,5;2019-10-17 12:41:00;2019-10-17 12:42:00;2019-10-17;12:42:00
36;2019-10-17 12:42:34;BEL_TD4;1m;14;79,0;7,0;2019-10-17 12:41:00;2019-10-17 12:42:00;2019-10-17;12:42:00
37;2019-10-17 12:42:34;RME_TD1;1m;19;40,0;26,0;2019-10-17 12:41:00;2019-10-17 12:42:00;2019-10-17;12:42:00
38;2019-10-17 12:42:34;SB1201_BAout;1m;0;17,0;15,5;2019-10-17 12:39:00;2019-10-17 12:40:00;2019-10-17;12:40:00
39;2019-10-17 12:42:34;STE_TD1;1m;11;12,0;35,0;2019-10-17 12:41:00;2019-10-17 12:42:00;2019-10-17;12:42:00
40;2019-10-17 12:42:34;SB0246_BAout;1m;0;0,0;0,0;2019-10-17 02:53:00;2019-10-17 02:54:00;2019-10-17;02:54:00
41;2019-10-17 12:42:34;TRO_TD2;1m;21;62,5;12,5;2019-10-17 12:41:00;2019-10-17 12:42:00;2019-10-17;12:42:00
42;2019-10-17 12:42:34;GH_203;1m;22;44,6667;8,66667;2019-10-17 12:41:00;2019-10-17 12:42:00;2019-10-17;12:42:00
43;2019-10-17 12:42:34;SGN02_BAout;1m;0;0,0;0,0;2019-10-16 15:06:00;2019-10-16 15:07:00;2019-10-16;15:07:00
44;2019-10-17 12:42:34;SB020_BCin;1m;9;18,6667;2,0;2019-10-17 12:38:00;2019-10-17 12:39:00;2019-10-17;12:39:00
45;2019-10-17 12:42:34;PNA_103;1m;38;46,5;25,5;2019-10-17 12:41:00;2019-10-17 12:42:00;2019-10-17;12:42:00
46;2019-10-17 12:42:34;SUL62_BHout;1m;0;0,0;0,0;2019-10-17 02:53:00;2019-10-17 02:54:00;2019-10-17;02:54:00
47;2019-10-17 12:42:34;SUL62_BGout;1m;7;27,0;6,0;2019-10-17 12:38:00;2019-10-17 12:39:00;2019-10-17;12:39:00
48;2019-10-17 12:42:34;MAD_203;1m;39;43,0;28,0;2019-10-17 12:41:00;2019-10-17 12:42:00;2019-10-17;12:42:00
49;2019-10-17 12:42:34;VLE_203;1m;18;60,5;13,0;2019-10-17 12:41:00;2019-10-17 12:42:00;2019-10-17;12:42:00
50;2019-10-17 12:42:34;BET_TD3;1m;13;60,0;6,0;2019-10-17 12:41:00;2019-10-17 12:42:00;2019-10-17;12:42:00
51;2019-10-17 12:42:34;VP_203;1m;39;64,5;21,5;2019-10-17 12:41:00;2019-10-17 12:42:00;2019-10-17;12:42:00
52;2019-10-17 12:42:34;SUL62_BA1out;1m;0;0,0;0,0;2019-10-17 02:53:00;2019-10-17 02:54:00;2019-10-17;02:54:00
53;2019-10-17 12:42:34;SUL62_BDin;1m;0;0,0;0,0;2019-10-17 02:53:00;2019-10-17 02:54:00;2019-10-17;02:54:00
54;2019-10-17 12:42:34;SB0246_BXout;1m;0;0,0;0,0;2019-10-17 02:53:00;2019-10-17 02:54:00;2019-10-17;02:54:00
55;2019-10-17 12:42:34;SB020_BDout;1m;25;33,0;14,0;2019-10-17 12:38:00;2019-10-17 12:39:00;2019-10-17;12:39:00
56;2019-10-17 12:42:34;BAI_TD2;1m;23;51,0;15,5;2019-10-17 12:41:00;2019-10-17 12:42:00;2019-10-17;12:42:00
